text,news_link,outlet,topic,type,label_bias,label_opinion,biased_words,target_score,char_len,word_count,avg_word_len,punct_count,caps_word_count,biased_word_count,biased_word_ratio,biased_word_present,vader_compound,vader_pos,vader_neg,vader_neu,subjectivity,polarity,intensifier_count,hedge_count,negative_word_count,is_question,is_exclamation,entity_count,has_person,has_org,has_place,person_count,adj_count,adj_ratio,verb_count,noun_count
"""Orange Is the New Black"" star Yael Stone is renouncing her U.S. green card to return to her native Australia in order to fight climate change.",https://www.foxnews.com/entertainment/australian-actress-yael-stone-giving-up-green-card-fight-climate-change,Fox News,environment,right,Non-biased,Entirely factual,[],1.0,0.23217247097844113,0.2551020408163265,0.2884615383930288,0.375,0.16666666666666666,0.0,0.0,0.0,0.3064499589827728,0.0,0.17247706422018347,0.8483870967741937,0.395959596,0.5129068461111111,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.2,0.15384615384615385,0.10256410266666667,0.21428571428571427,0.19230769230769232
"""We have one beautiful law,"" Trump recently said in his characteristically bizarre syntax and diction, repeating the word ""beautiful.""",https://www.alternet.org/2020/06/law-and-order-is-a-debased-concept-used-to-cover-up-right-wing-crime-and-depravity-heres-why/,Alternet,gun control,left,Biased,Somewhat factual but also opinionated,"['bizarre', 'characteristically']",8.5,0.21724709784411278,0.18367346938775508,0.5822368421613896,0.125,0.0,0.125,0.210526316,1.0,0.890791632485644,0.48381877022653724,0.16146788990825686,0.37580645161290327,0.7125,0.8472222222222223,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.23076923076923078,0.210526316,0.21428571428571427,0.15384615384615385
"...immigrants as criminals and eugenics, all of which were once considered fringe and extreme. White nationalists embrace white supremacist and white separatist views.",https://www.nbcnews.com/news/latino/after-stephen-miller-s-white-nationalist-views-outed-latinos-ask-n1096071,MSNBC,white-nationalism,left,Biased,Expresses writer’s opinion,"['criminals', 'fringe', 'extreme']",10.0,0.2719734660033168,0.22448979591836732,0.6195652174137228,0.625,0.0,0.1875,0.260869566,1.0,0.4190935192780968,0.23624595469255663,0.2440366972477064,0.5483870967741936,0.25,0.5381944444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.2318840573333333,0.14285714285714285,0.3076923076923077
"...we sounded the alarm in the early months of Trump’s presidency, when prime-time Fox News host Tucker Carlson began to experiment with segments that used euphemisms like “Western civilization” to package the idea that white people are inherently more civilized while people of color are a threat to national stability.",https://www.alternet.org/2019/07/fox-news-has-gone-so-deep-into-white-nationalism-that-donald-trump-now-believes-its-how-hell-win-in-2020/,Alternet,white-nationalism,left,Biased,Somewhat factual but also opinionated,[],6.5,0.5257048092868989,0.5,0.4537500000283593,0.5,0.0,0.0,0.0,0.0,0.24041222313371613,0.07281553398058252,0.19266055045871558,0.7580645161290324,0.34,0.6666666666666667,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.2,0.46153846153846156,0.15999999999999998,0.3571428571428571,0.5384615384615385
"[Black Lives Matter] is essentially a non-falsifiable religious cult that sets itself specifically against Christianity, just like the French Revolution did.",http://feedproxy.google.com/~r/breitbart/~3/-vHhfcwC74U/,Breitbart,marriage-equality,,Biased,Expresses writer’s opinion,['cult'],8.95,0.25538971807628524,0.2040816326530612,0.6607142857912945,0.125,0.0,0.0625,0.095238096,1.0,0.697959392945037,0.25728155339805825,0.0,0.7435483870967742,0.245833333,0.5324074072222222,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.38461538461538464,0.3174603173333333,0.14285714285714285,0.07692307692307693
[Democrats employ] their full arsenal to delegitimize the Trump presidency for the apparent crime of winning the 2016 election.,https://thefederalist.com/2020/09/22/democrats-ramp-up-their-war-on-americas-institutions-promising-riots-if-trump-nominates-a-justice/,Federalist,vaccine,,Biased,Expresses writer’s opinion,"['apparent', 'crime']",10.0,0.20563847429519072,0.18367346938775508,0.5131578947195724,0.125,0.0,0.125,0.210526316,1.0,0.4889766201804758,0.2297734627831715,0.2678899082568807,0.5338709677419354,0.55,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.2,0.15384615384615385,0.14035087733333332,0.21428571428571427,0.19230769230769232
[Newsoms's] obsession with masks has created an almost hostile environment in our neighborhoods and streets.,https://thefederalist.com/2020/12/09/gavin-newsoms-covid-tyranny-is-suffocating-california/,Federalist,vaccine,,Biased,Expresses writer’s opinion,['obsession'],9.33,0.17412935323383086,0.14285714285714282,0.6125000001007811,0.125,0.0,0.0625,0.133333334,1.0,0.29542657916324855,0.17313915857605178,0.4623853211009174,0.4209677419354839,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.07692307692307693,0.08888888933333333,0.07142857142857142,0.23076923076923078
[Newsoms's] onslaught of propaganda ignores conflicting science on mask-wearing (some studies suggest it may even increase infection) and vilifying those who ever leave their house with a wish to breath unimpeded oxygen as they walk down the sidewalk alone.,https://thefederalist.com/2020/12/09/gavin-newsoms-covid-tyranny-is-suffocating-california/,Federalist,vaccine,,Biased,Expresses writer’s opinion,"['propaganda', 'vilifying', 'unimpeded']",9.54,0.42122719734660036,0.38775510204081626,0.4903846153431489,0.125,0.0,0.1875,0.153846154,1.0,0.26697087776866285,0.17152103559870552,0.39082568807339446,0.48548387096774215,0.194444444,0.48456790111111114,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.07692307692307693,0.034188034666666665,0.6428571428571428,0.42307692307692313
"[The police] now prefer to think of themselves more like glorified social workers, there to heal the wounds of a broken society by showing off their skateboarding skills at Extinction Rebellion protests and putting on makeup and rainbow lanyards to prance embarrassingly at Gay Pride festivals.",http://feedproxy.google.com/~r/breitbart/~3/2RH0NVHEl6Q/,Breitbart,marriage-equality,,Biased,Expresses writer’s opinion,['wounds'],8.43,0.48258706467661694,0.4591836734693877,0.4524456521532777,0.125,0.0,0.0625,0.04347826,1.0,0.7440012305168171,0.3122977346278317,0.2880733944954128,0.4354838709677421,0.3875,0.6319444444444444,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.07692307692307693,0.028985506666666664,0.7142857142857142,0.34615384615384615
‘A new low’: Washington Post media critic blows up Tucker Carlson’s absurd lies about white nationalism,https://www.alternet.org/2019/08/a-new-low-washington-post-media-critic-blows-up-tucker-carlsons-absurd-lies-about-white-nationalism/,Alternet,white-nationalism,left,Biased,Expresses writer’s opinion,"['blows', 'up', 'absurd', 'lies', 'nationalism', 'white']",10.0,0.16583747927031509,0.1530612244897959,0.4687500000292969,0.0,0.16666666666666666,0.375,0.75,1.0,0.19488310090237898,0.0,0.4752293577981651,0.5822580645161292,0.438636364,0.505050505,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,1.0,0.0,0.2,0.23076923076923078,0.25,0.07142857142857142,0.19230769230769232
